,comment,comment_year,emission_id,comment_id
0,"The municipality are increasing in terms of citizens, business, buldings,highways etc.",2016,236,1
1,DATA IN CO2 (NOT CO2e),2016,863,2
2,Reevaluation of recycling curbing and educational programs with public and private sector,2016,76,3
3,There is a difference between the amount of CO2 emissions presented in SEAP and this table due to a change in the calculation methodology.,2016,84,4
4,This is in line with national carbon budget periods,2016,18,5
5,The 2005 baseline emissions are 5.7tCO2e per person.  The target for 2020 is 3.99 tonnes CO2e per person. The outturn figure for 2013 was 4.1 tonnes of CO2 per person.,2016,92,6
6,"This 26% reduction target is for per capita emissions (NB Cardiff is the UKs fastest growing city).  The per capita carbon emissions were 8.3 tonnes in 2005 and are 6.1 in 2013, demonstrating a 27% reduction in per capita emissions.  (The reduction in absolute emissions from 2005 to 2013 is 20%)",2016,19,7
7,City Council Strategy 2013-2016,2016,65,8
8,Climate strategy for the metropolitan area. Target achieved in 2014.,2016,65,9
9,"City's energy policy lines, Covenant of Mayors. Target achieved in 2013.",2016,65,10
10,In the City strategy: -50% by 2015 (from 1990 level),2016,125,11
11,"Transport, domestic electricity and gas use, and industrial electricity and gas use",2016,173,12
12,Sustainable Energy Action Plan reduction target. Reductions from action at a local level (demand management) and national level (supply management).,2016,93,13
13,"In 2014 ambitious target was set by the city council, which aims to make Turku carbon-neutral by 2040.",2016,26,14
14,4%  reduction obetained at  the end of 2010,2016,70,15
15,"In addition to the emission-reducing activities mentioned below, the emission-reducing activities on local government level are part of the total reduction aim of 20%.",2016,856,16
16,"The emission reduction is calculated with respect to the reference scenario (BAU) in 2020.
Were considered only CO2 emissions related to the areas of competence of the Municipality of Piacenza.",2016,103,17
17,This target is related to CO2 emission and was set in the Covenant of Mayors. The target is applied to the whole CO2 emissions including together Local Government Operations and Community.,2016,89,18
18,Roadmap to a Fossil free-fuel Stockholm 2050 (being updated to 2040) according to Stockhom City's budget.,2016,104,19
19,"The Municipality is a member of the Covenant of Mayors, an european compromise to reduce the CO2 levels in 20%.",2016,269,20
20,"See Climate Change and Low Emission Strategies’
Whole Place Implementation Plan for Greater Manchester
(2016-2020) (attached for detailed actions.",2016,2,21
21,"until 2020 3 % reduction per year
2035 Fossil free electricity and heating supply
2050 Fossil free electricity and heating supply and the transport sector
2050 98 % reduction (baseline 2012)",2016,55,22
22,"GHG sources to
which the target applies:
CO2-City-wide

Solutions of the municipal council",2016,69,23
23,"The baseline emission and the target emission are measured in tonnes CO2e per person per year.

Target for 2050: 1.0 tonnes CO2e per person (18% of 2005)
Target for 2035: 2.5 tonnes CO2e per person (45% of 2005)
Target for 2020: 4.0 tonnes CO2e per person (72% of 2005)",2016,74,24
24,"With a new City government in office from september 2015, the GHG-target was expedited from 2050 to 2030.",2016,58,25
25,Data based on plan mentioned in 7.1. a - row 3,2016,272,26
26,"Torres Vedras SEAP is an integrated plan to reduce emissions of the community and local government operations, the amount provided for emission reduction is a global value. In the plan are set 61 actions for the community and the local government operations.",2016,158,27
27,already reached,2016,6,28
28,Kyoto Protocol - Second period,2016,862,29
29,Kyoto Protocol - QUELRO 2012-2020,2016,862,30
30,"Gdynia has the Low Emission Economy Plan 2015-2020. Up to 2020 Gdynia declared to reduce the emission of CO2 by 20%, to reduce the consumption of  the final energy by 28% and to increase power installed renewable energy sources by 14 MW.",2016,274,31
31,Swiss federal law CO2,2016,24,32
32,http://www.2000-watt.bs.ch/en/pilotregion_basel- 2/schwerpunkt-bauen/klimaneutrale-verwaltung.htm,2016,24,33
33,"The targets are set s in the City’s Energy and Climate Action Plan (ECAP) and is currently being reviewed and updated as part of the City’s Energy 2040 vision and ECAP update process, to be finalised by end 2015. Updated targets will be provided in the 2016 CDP submission. Current electricity consumption levels city-wide are below 2007 levels.",2016,21,34
34,"The target of 24.5% is articulated in the municipal energy strategy (2008). However, a climate change adaptation and mitigation strategy for the city is currently being developed which will revise these targets to align with the national climate change policy.",2016,139,35
35,"With a new City government in office from september 2015, the GHG-target was expedited from 2030 to 2020.",2016,58,36
36,To respect the European objectives by 2020 and to decrease overall emissions by 75% in 2050 compared with 2004,2016,132,37
37,Signed agreement on Act2 of Covenant of Mayors,2016,132,38
38,"Stockholm has a goal that by 2020 our GHG per capita should be down to 2,3 ton 2020 per person.",2016,104,39
39,2025 target date,2016,4,40
40,"The sectors included in the emissions reduction target include buildings, transport and other sectors but not waste.",2016,16,41
