country_name,region_name,CDP_region,country_location
Albania,5,,"(41.153332, 20.168331)"
Argentina,4,,"(-38.416097, -63.616672)"
Australia,2,,"(-25.274398, 133.775136)"
Belgium,,3,
Bolivia,4,,"(-16.290154, -63.588653)"
Bosnia & Herzegovina,,3,
Brazil,4,,"(-14.235004, -51.92528)"
Bulgaria,5,,"(42.697708, 23.321868)"
Burundi,,7,
Cameroon,,7,
Canada,3,,"(56.130366, -106.346771)"
Chile,4,,"(-35.675147, -71.542969)"
China,6,,"(35.86166, 104.195397)"
"China, Hong Kong Special Administrative Region",,2,
Colombia,4,,"(4.5709, -74.2973)"
Comoros,7,,"(-11.6455, 43.3333)"
Costa Rica,,1,
Croatia,,3,
Cuba,,1,
Czechia,,3,
Côte d'Ivoire,,7,
Democratic Republic of Congo,7,,"(-4.038333, 21.758664)"
Democratic Republic of the Congo,,7,
Denmark,5,,"(56.26392, 9.501785)"
East Asia,,2,
Ecuador,4,,"(-1.831239, -78.183406)"
Estonia,5,,"(58.5953, 25.0136)"
Eswatini,,7,
Ethiopia,7,,"(9.145, 40.489673)"
Finland,5,,"(61.92411, 25.748151)"
France,5,,"(46.227638, 2.213749)"
Georgia,5,,"(40.786168, -81.288192)"
Germany,5,,"(51.165691, 10.451526)"
Ghana,,7,
Gibraltar,5,,"(36.140751, -5.353585)"
Greece,5,,"(39.074208, 21.824312)"
Guatemala,,1,
Hong Kong,6,,"(22.396428, 114.109497)"
Iceland,5,,"(64.963051, -19.020835)"
India,1,,"(20.5937, 78.9629)"
Indonesia,2,,"(-6.121435, 106.774124)"
Ireland,5,,"(53.41291, -8.24389)"
Israel,1,,"(31.046051, 34.851612)"
Italy,5,,"(41.87194, 12.56738)"
Japan,6,,"(36.204824, 138.252924)"
Jordan,1,,"(30.585164, 36.238414)"
Kenya,,7,
Latvia,5,,"(56.8796, 24.6032)"
Lithuania,5,,"(55.169438, 23.881275)"
Madagascar,,7,
Malawi,,7,
Malaysia,2,,"(4.210484, 101.975766)"
Mexico,4,,"(23.634501, -102.552784)"
Monaco,5,,"(43.738418, 7.424616)"
Montenegro,5,,"(42.708678, 19.37439)"
Morocco,,7,
Mozambique,,7,
Namibia,,7,
Netherlands,5,,"(52.132633, 5.291266)"
New Zealand,2,,"(-40.900557, 174.885971)"
Nigeria,7,,"(9.081999, 8.675277)"
Norway,5,,"(60.472024, 8.468946)"
Peru,4,,"(-9.19, -75.0152)"
Philippines,2,,"(12.879721, 121.774017)"
Poland,5,,"(51.919438, 19.145136)"
Portugal,5,,"(39.399872, -8.224454)"
Republic of Korea,,2,
Romania,5,,"(45.943161, 24.96676)"
Russia,5,,"(61.52401, 105.318756)"
Senegal,,7,
Sierra Leone,,7,
Singapore,2,,"(1.352083, 103.819836)"
Slovenia,5,,"(46.151241, 14.995463)"
South Africa,7,,"(-30.559482, 22.937506)"
South Korea,6,,"(35.907757, 127.766922)"
Spain,5,,"(40.463667, -3.74922)"
State of Palestine,1,,"(31.9522, 35.2332)"
Sweden,5,,"(60.128161, 18.643501)"
Switzerland,5,,"(46.818188, 8.227512)"
Taiwan,6,,"(23.69781, 120.960515)"
Thailand,2,,"(15.870032, 100.992541)"
Togo,,7,
Turkey,5,,"(38.963745, 35.243322)"
USA,3,,"(37.09024, -95.712891)"
Uganda,,7,
United Arab Emirates,,10,
United Kingdom,5,,"(55.378051, -3.435973)"
United Kingdom of Great Britain and Northern Ireland,,3,
United Republic of Tanzania,,7,
United States of America,,4,
Uruguay,,1,
Venezuela,4,,"(6.42375, -66.58973)"
Viet Nam,,5,
Vietnam,2,,"(14.058324, 108.277199)"
,,,
