Assessment_id,Assessment_link,Assessment_boundry,link_confirmation,Assessment_factors,Assessment_authors,Adaptation_plan,Organization_id
1,https://drive.google.com/file/d/19DMxxK532IQSLt1PdwolFXZK4Ri2mRh-/view?usp=sharing,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,840926
2,,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"Assessment considers nature; Assessment considers transition risks; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Identified hazards have been incorporated into the jurisdictions overall risk management framework; None of the above",Consultant; Dedicated team within jurisdiction; International organization; National/ central government; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation plan,51075
3,PLCC_Renca (08 Abril).pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Question not applicable,Adaptation goal(s) and adaptation plan,863190
4,https://sigrid.cenepred.gob.pe/sigridv3/documento/15166/descargar,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Incomplete report,930366
5,https://moten.trelleborg.se/welcome-sv/namnder-styrelser/kommunstyrelsen/kommunstyrelsen/agenda/klimatanpassningsplanantagandeversional20180523-slutligpdf-1?downloadMode=open,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,60236
6,15 PMDUOET versión INTEGRAL Cap.4-10.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,863463
7,https://www.cityofboise.org/departments/public-works/boises-energy-future/boise-climate-adaptation-assessment/,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers water security,"Other, please specify: University of Idaho",Adaptation goal(s) and adaptation plan,54125
8,https://www.hamiltoncountyohio.gov/emergency_management_agency/planning,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This is a county-wide plan",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,35857
9,http://sisvuclima.mma.gov.br/visualizar_indice/,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,National/ central government,Adaptation goal(s),850566
10,Land use planning,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,,,Incomplete report,54365
11,climate-change-vulnerability-assessment.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,35884
12,"ÁREA RISCO PORTO DE PEDRA, USINA OUT CARMO.pdf","Smaller - covers only part of the jurisdiction, please explain exclusions: Área referente ao bairro de Porto de Pedra, correspondendo ao mapeamento de risco de movimento de massa e maior abrangência nas ruas Maria de Souza,  Dom Marcos de Noronha, Senador Álvaro Uchoa.",The assessment has been attached,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s),930245
13,https://www.comune.milano.it/documents/20126/430903598/Piano+Aria+Clima+-+Approvato+-220325.pdf/bb865fc9-f37b-a90a-b4d1-ff595e7162ef?t=1652093098404,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,31173
14,3DELIM1.PDF,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Zona precordillerana y cordillerana de Peñalolén. Incluye la principal cuenca de la comuna, abarcando comuna aledaña",The assessment has been attached,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: Academia",Adaptation goal(s) and adaptation plan,60410
15,PLAC Gral Pueyrredon.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)","Dedicated team within jurisdiction; Other, please specify: Asociación Civil Red Argentina de Municipios frente al Cambio Climático",Adaptation goal(s) and adaptation plan,54607
16,SECAP-VITACURA_2020.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,60906
