base_emission_id;reporting_year;sector;baseline_year;baseline_emissions;emission_id
1;2016;Total;2010;6136.0;264
2;2016;Total;2005;2913434.0;265
3;2016;Total;2009;268000.0;236
4;2016;Total;2009;3804493.0;161
5;2016;Total;2004;178832.0;172
6;2016;Total;1990;1700000.0;35
7;2016;Total;2008;2100000.0;12
8;2016;Total;2007;2141272.0;863
9;2016;Waste;2009;800000.0;76
10;2016;Other;2008;347987.0;84
11;2016;Total;1990;6874000.0;18
12;2016;Total;2005;1075590.0;92
13;2016;Total;2005;2667000.0;19
14;2016;Total;1990;3615000.0;65
15;2016;Buildings;1990;747000.0;125
16;2016;Other;1990;2388300.0;173
17;2016;Other;2002;3887013.0;83
18;2016;Total;2004;1300000.0;93
19;2016;Total;2007;339990.0;122
20;2016;Total;2013;1107500.0;26
21;2016;Total;1990;6988259.0;240
22;2016;Other;2010;1237553.0;54
23;2016;Other;2005;2288510.0;70
24;2016;Total;2010;520715.0;268
25;2016;Total;2007;1582605.13;77
26;2016;Other;2005;2215759.0;85
27;2016;Total;2005;1892158.0;856
28;2016;Total;2007;1683317.65;89
29;2016;Total;2006;692479.0;170
30;2016;Total;2006;5054000.0;68
31;2016;Total;1990;20727000.0;90
32;2016;Other;1990;3668000.0;104
33;2016;Total;2010;515593.0;269
34;2016;Total;2013;3551302.0;865
35;2016;Total;2007;499740.0;176
36;2016;Total;1990;21200000.0;2
37;2016;Total;2012;310000.0;55
38;2016;Total;2010;182657.0;271
39;2016;Total;1990;3955000.0;69
40;2016;Total;2012;1406000.0;69
41;2016;Total;2008;15177.0;105
42;2016;Total;2007;180500.0;233
43;2016;Total;2007;361000.0;233
44;2016;Total;1991;1200000.0;58
45;2016;Total;2013;20232.0;272
46;2016;Other: Domestic buildings, industry and other businesses (including non-domestic buildings), traffic and waste treatment.;1990;2499.0;858
47;2016;Total;2006;5700000.0;4
48;2016;Total;2009;268064.0;158
49;2016;Total;2014;467.45;174
50;2016;Other: Energy and mobility;2005;585531.0;6
51;2016;Total;2005;11527000.0;159
52;2016;Total;1990;12653000.0;159
53;2016;Transport;2011;2367000.0;159
54;2016;Total;1990;1108030.0;24
55;2016;Total;1990;3417000.0;263
56;2016;Total;2012;20550172.0;21
57;2016;Total;2005;2541000.0;99
58;2016;Total;2010;2240000.0;99
59;2016;Total;1990;36200000.0;137
60;2016;Total;2006;21413906.0;139
61;2016;Total;2007;27000000.0;80
62;2016;Total;2004;25000000.0;132
63;2016;Total;2004;6200000.0;132
64;2016;Total;2007;12952984.0;16
65;2016;Total;2005;7418.0;120
66;2016;Buildings;2005;512859.0;59
67;2016;Buildings;2005;524145.0;59
68;2016;Transport;2005;381340.0;59
69;2016;Total;2005;1418344.0;59
70;2016;Other;1990;45000000.0;52
71;2016;Transport;2003;4174937.0;100
72;2016;Buildings;2003;3593877.0;100
73;2016;Total;2005;7972916.0;119
74;2016;Other:;2003;3230703.0;100
75;2016;Buildings;2009;903226.0;56
76;2016;Transport;2009;276097.0;56
77;2016;Waste;2009;13797.0;56
78;2016;Total;2007;2668991.0;113
79;2016;Other;2004;762829.0;165
80;2016;Buildings;2009;5356727.0;76
81;2016;Transport;2009;2300000.0;76
82;2016;Total;2007;4641240.0;275
83;2016;Other;2010;7579144.0;257
84;2016;Total;2000;862545.1;276
85;2016;Total;2000;487035.0;130
86;2016;Total;2005;1943165.0;109
87;2016;Total;2006;23351712.0;117
