Organization_id;city_id
1093;138
1184;139
1850;66
2430;148
3203;152
3422;329
3429;217
8242;169
10495;182
10894;187
13067;191
14088;195
14344;540
14874;202
16581;214
19233;719
20113;222
31009;155
31052;151
31090;268
31108;172
31109;188
31110;608
31111;714
31112;399
31113;228
31114;218
31115;175
31117;219
31146;9
31148;134
31149;137
31150;48
31151;53
31154;76
31155;147
31156;489
31159;16
31163;384
31165;670
31166;388
31167;177
31169;359
31170;429
31171;43
31173;243
31175;197
31176;575
31179;317
31180;591
31181;199
31182;211
31185;223
31186;118
31187;648
31313;272
31446;689
32480;131
32550;158
35268;142
35274;567
35393;216
35449;671
35475;149
35755;744
35848;488
35853;140
35858;150
35859;153
35860;156
35862;159
35863;160
35868;342
35872;492
35877;201
35879;189
35883;628
35884;210
35885;706
35886;246
35894;747
35898;330
35902;190
35995;145
36154;749
36159;184
36254;248
36262;242
36263;245
36274;240
36286;241
36495;244
36518;247
42120;208
42123;166
42178;269
43905;209
43907;173
43910;154
43912;162
43920;432
43932;39
43937;760
44132;81
44185;679
44191;26
46473;230
46514;203
49334;206
49335;506
49360;576
49386;171
49787;141
50154;221
50364;487
50369;44
50383;574
50384;572
50555;167
50558;186
50559;666
50560;193
50572;615
50578;225
50579;226
52893;229
52897;136
53921;708
53959;297
54048;176
54070;164
54075;180
54078;168
54085;213
54088;198
54102;132
54104;143
54108;161
54110;212
54111;174
54113;165
54119;535
54128;204
54329;72
54337;328
54354;447
54386;688
54388;382
54390;366
54395;698
54402;178
54408;2
54443;419
54459;205
54497;770
54520;746
54521;144
54529;183
54650;573
55179;194
55325;494
55442;493
55799;135
55800;106
56276;511
57347;556
57616;179
58310;207
58357;224
58485;6
58488;661
58489;358
58531;660
58590;279
58609;231
58610;354
58621;721
58671;286
58797;371
59165;320
59545;123
59552;157
59563;692
59595;91
59612;170
59669;192
59996;55
60577;307
60602;12
60603;578
60656;200
61753;778
61790;163
62180;239
62855;283
62864;181
63999;470
73295;409
63616;3
36004;4
73413;4
36039;7
46263;11
59151;13
60588;14
53931;17
49346;18
831674;19
54425;20
54092;24
36223;27
840076;28
60229;29
50368;30
54114;33
55467;41
35907;46
1499;49
50679;50
54699;51
59657;56
841960;57
31054;57
58636;58
58595;60
37241;62
31153;63
54623;64
833284;65
60102;67
54109;69
54706;70
54125;77
36261;79
74414;84
74594;86
55334;87
74418;89
60599;90
2185;92
63941;93
54046;94
35854;95
50380;96
54593;98
60633;99
35856;101
58543;102
58395;103
60002;104
60104;106
35897;108
54396;109
43928;110
55372;111
50374;115
50680;116
826209;119
59588;120
43914;121
834082;124
35905;125
50375;127
50562;128
35857;129
58627;133
49338;220
848145;232
60407;234
54100;235
55415;236
69850;238
31051;250
54637;251
50386;252
64014;253
50371;255
44180;256
36032;257
831615;257
44299;259
35893;260
54345;261
31157;263
59537;264
60168;266
43938;270
54116;273
54105;274
60113;275
58868;277
834083;280
31056;281
35864;285
60231;287
54409;289
54610;290
59678;292
60273;293
50671;294
50673;295
826429;299
36285;300
54066;303
52896;304
35865;305
63543;306
49367;310
54124;311
36218;312
50681;313
50203;314
58424;315
60114;316
50650;319
31055;322
60625;324
44187;326
54034;327
50541;331
54461;332
35867;333
50387;334
54084;335
55324;336
44181;337
44205;338
44295;339
42384;340
50543;341
31158;344
54518;347
50545;350
50361;352
31164;355
53254;356
51105;360
49339;361
