emission_id;Organization_id;gases_included
1;35894;"CO2; CH4; N2O"
2;35898;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
3;54128;"CO2; CH4; N2O"
4;35879;"CO2; CH4; N2O"
5;50558;"CO2; CH4; N2O"
6;54520;CO2
7;43910;"CO2; CH4; N2O"
8;50220;"CO2; PFCs; CH4; SF6; N2O; HFCs"
9;44182;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
10;3203;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
11;31109;"CO2; PFCs; CH4; SF6; N2O; HFCs"
12;54408;CO2
13;49334;CO2
14;10495;CO2
15;3417;"CO2; CH4; SF6; N2O"
16;31185;CO2
17;31117;CO2
18;1850;CO2
19;31052;CO2
20;31156;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
21;35858;"CO2; CH4; N2O"
22;43912;"CO2; CH4; N2O"
23;31090;"CO2; CH4; N2O"
24;31151;"CO2; CH4; N2O"
25;54329;"CO2; CH4; N2O"
26;50154;"CO2; CH4; N2O"
27;35268;"CO2; CH4; N2O"
28;54113;CO2
29;31179;CO2
30;35848;"CO2; CH4; N2O"
31;31112;"CO2; PFCs; CH4; SF6; N2O; HFCs"
32;56276;"CO2; PFCs; CH4; SF6; N2O; HFCs"
33;50364;"CO2; PFCs; CH4; SF6; N2O; HFCs"
34;54354;"CO2; CH4; N2O"
35;62180;"CO2; PFCs; CH4; SF6; N2O; HFCs"
36;54075;"CO2; CH4; N2O"
37;54048;"CO2; CH4; N2O"
38;58310;"CO2; CH4; N2O"
39;50560;"CO2; CH4; N2O"
40;31166;
41;50384;"CO2; PFCs; CH4; SF6; N2O; HFCs"
42;31181;"CO2; PFCs; CH4; SF6; N2O; HFCs"
43;31165;CO2
44;35872;"CO2; CH4; N2O"
45;35995;"CO2; PFCs; CH4; SF6; N2O; HFCs"
46;58628;"CO2; CH4; N2O"
47;36154;"CO2; PFCs; CH4; N2O; HFCs"
48;35884;
49;50673;CO2
50;36045;"CO2; CH4; N2O"
51;31170;"CO2; CH4; N2O"
52;3422;"CO2; CH4; N2O"
53;35860;"CO2; CH4; N2O"
54;46473;CO2
55;58489;CO2
56;54102;"CO2; PFCs; CH4; SF6; N2O; HFCs"
57;54650;"CO2; CH4; N2O; HFCs"
58;14088;"CO2; CH4; N2O"
59;36254;CO2
60;59669;"CO2; CH4"
61;60602;CO2
62;16581;"CO2; CH4; SF6"
63;31187;"CO2; PFCs; CH4; SF6; N2O; HFCs"
64;31172;"CO2; CH4; N2O; HFCs"
65;8242;"CO2; CH4; N2O"
66;31146;"CO2; CH4; N2O"
67;31176;"CO2; CH4; N2O"
68;31313;CO2
69;54443;CO2
70;36274;CO2
71;55325;
72;31446;"CO2; CH4; N2O"
73;54119;"CO2; CH4; N2O"
74;35449;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
75;43928;"CO2; CH4; SF6; N2O; HFCs"
76;1093;"CO2; CH4; N2O"
77;36286;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
78;20113;"CO2; CH4; N2O"
79;2430;CO2
80;31115;"CO2; CH4; N2O"
81;35886;CO2
82;59552;"CO2; CH4; N2O; HFCs"
83;36159;CO2
84;50679;CO2
85;36262;CO2
86;43907;CO2
87;58485;"CO2; PFCs; CH4; SF6; N2O; HFCs"
88;43920;"CO2; CH4; N2O"
89;36263;CO2
90;35868;CO2
91;31155;"CO2; CH4; N2O"
92;54521;CO2
93;46514;
94;31111;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
95;50369;"CO2; CH4; N2O"
96;49360;"CO2; CH4; N2O"
97;32550;"CO2; CH4; N2O"
98;54111;"CO2; PFCs; CH4; SF6; N2O; HFCs"
99;31009;"CO2; CH4; N2O"
100;31110;CO2
101;49335;CO2
102;42123;
103;36495;CO2
104;3429;"CO2; CH4; N2O"
105;55442;CO2
106;35859;"CO2; CH4; N2O"
107;50383;"CO2; PFCs; CH4; SF6; N2O; HFCs"
108;35475;"CO2; CH4; N2O"
109;54104;"CO2; CH4; N2O"
110;50579;"CO2; CH4; N2O"
111;50680;CO2
112;31114;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
113;55799;"CO2; CH4; N2O"
114;31182;"CO2; CH4; N2O"
115;54070;"CH4; N2O"
116;43932;"CO2; CH4; N2O"
117;50555;"CO2; CH4"
118;55616;CO2
119;35393;"CO2; CH4; N2O; HFCs"
120;31173;CO2
121;52893;CO2
122;54459;"CO2; CH4; N2O"
123;31169;"CO2; PFCs; CH4; SF6; N2O; HFCs"
124;31159;"CO2; CH4; N2O"
125;54402;"CO2; CH4; N2O"
126;35902;"CO2; PFCs; CH4; SF6; N2O; HFCs"
127;49386;"CO2; PFCs; CH4; SF6; N2O; HFCs"
128;32480;"CO2; CH4; N2O"
129;44132;
130;49787;"CO2; PFCs; CH4; SF6; N2O; HFCs"
131;35862;"CO2; CH4; N2O"
132;31175;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
133;44185;"CO2; PFCs; CH4; SF6; N2O; HFCs"
134;54395;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
135;58609;CO2
136;62864;"CO2; CH4; N2O"
137;10894;"CO2; CH4; N2O"
138;14874;"CO2; CH4; N2O"
139;35863;"CO2; CH4; N2O"
140;54610;"CO2; CH4; N2O"
141;13067;"CO2; CH4; N2O"
142;36037;"CO2; CH4; N2O"
143;54085;"CO2; CH4; N2O"
144;60656;"CO2; PFCs; CH4; SF6; N2O; HFCs"
145;58357;CO2
146;35877;"CO2; CH4; N2O"
147;58627;"CO2; CH4; N2O"
148;57616;"CO2; CH4; N2O"
149;54110;"CO2; CH4; N2O"
150;1184;"CO2; PFCs; CH4; N2O"
151;58531;"CO2; CH4; N2O"
152;49338;"CO2; CH4; N2O"
153;55179;"CO2; PFCs; CH4; SF6; N2O; HFCs"
154;59996;"CO2; CH4; N2O"
155;54337;"CO2; CH4; N2O"
156;59595;"CO2; CH4; N2O"
157;50672;CO2
158;19233;CO2
159;31171;"CO2; PFCs; CH4; SF6; N2O; HFCs"
160;58610;CO2
161;61753;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
162;43937;"CO2; PFCs; CH4; SF6; N2O; HFCs"
163;54078;"CO2; CH4; N2O"
164;42120;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
165;52897;"CO2; CH4; N2O"
166;54108;"CO2; CH4; N2O"
167;50578;"CO2; CH4; N2O"
168;57347;"CO2; CH4; N2O"
169;59612;"CO2; CH4; N2O"
170;36518;CO2
171;35880;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
172;61790;"CO2; CH4; N2O"
173;54529;CO2
174;35755;CO2
175;31149;"CO2; CH4; N2O"
176;59165;"CO2; CH4; N2O"
177;31108;"CO2; CH4; N2O"
178;31167;"CO2; CH4"
179;54088;"CO2; CH4"
180;42178;"CO2; CH4; N2O"
181;49363;
182;59537;"CO2; CH4; N2O"
183;54386;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
184;49342;"CO2; CH4; N2O"
185;50541;CO2
186;54046;
187;31164;"CO2; PFCs; CH4; SF6; N2O; HFCs"
188;59180;
189;54066;
190;35274;"CO2; CH4; N2O"
191;50375;"CO2; CH4; N2O"
192;35874;
193;58513;
194;53254;CO2
195;35857;"CO2; CH4; N2O"
196;54389;
197;36285;CO2
198;31177;"CO2; CH4; N2O"
199;50568;
200;57509;
201;69967;"CO2; CH4; N2O"
202;31163;
203;50359;"CO2; PFCs; CH4; SF6; N2O; HFCs"
204;58590;
205;53959;"CO2; CH4; N2O; HFCs"
206;60318;
207;58543;"CO2; CH4"
208;50572;
209;54409;"CO2; CH4; N2O"
210;54388;
211;35885;"CO2; CH4; N2O"
212;31174;
213;50382;
214;49327;
215;63616;
216;58461;
217;1499;"CO2; CH4; N2O"
218;59163;CO2
219;55324;CO2
220;55800;
221;60392;
222;36036;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
223;59633;
224;50559;
225;59160;
226;55801;
227;60680;
228;59631;
229;53921;
230;59545;"CO2; CH4; N2O"
231;60419;
232;43926;CO2
233;58488;
234;54461;CO2
235;35993;"CO2; PFCs; CH4; SF6; N2O; HFCs"
236;62855;
237;54356;"CO2; CH4; N2O"
238;50671;CO2
239;58671;"CO2; CH4; N2O"
240;54497;
241;54057;"CO2; PFCs; CH4; SF6; N2O; NF3; HFCs"
242;55415;"CO2; CH4; N2O"
243;64014;"CO2; CH4; N2O"
244;50392;
245;54623;
246;54092;"CO2; CH4; N2O"
247;59158;
248;54100;"CO2; CH4; N2O"
249;50650;
250;60433;
251;58395;"CO2; CH4; N2O"
252;43911;"CO2; CH4; N2O"
253;60374;
254;63999;
255;50371;
256;60273;
257;35853;"CO2; CH4; N2O"
258;31154;"CO2; PFCs; CH4; SF6; N2O; HFCs"
259;58621;"CO2; CH4; N2O"
260;31180;"CO2; PFCs; CH4; SF6; N2O; HFCs"
261;43905;"CO2; CH4; SF6; N2O"
262;31113;"CO2; PFCs; CH4; SF6; N2O; NF3"
263;31148;"CO2; N2O"
