type_of_target_id;type_of_target;target_emission_id
1;Absolute target;281
2;Absolute target;282
3;Absolute target;283
4;Absolute target;284
5;Absolute target;285
6;Absolute target;286
7;Absolute target;287
8;Absolute target;289
9;Absolute target;290
10;Absolute target;292
11;Absolute target;293
12;Absolute target;294
13;Absolute target;295
14;Absolute target;296
15;Absolute target;297
16;Absolute target;298
17;Baseline scenario (business as usual) target;299
18;Baseline scenario (business as usual) target;300
19;Baseline scenario (business as usual) target;301
20;Absolute target;302
21;Absolute target;303
22;Absolute target;305
23;Absolute target;307
24;Absolute target;308
25;Absolute target;310
26;Absolute target;311
27;Absolute target;312
28;Absolute target;313
29;Absolute target;314
30;Absolute target;315
31;Absolute target;316
32;Absolute target;317
33;Absolute target;318
34;Absolute target;319
35;Absolute target;320
36;Absolute target;321
37;Absolute target;322
38;Absolute target;323
39;Absolute target;324
40;Absolute target;325
41;Absolute target;326
42;Absolute target;327
43;Absolute target;328
44;Absolute target;329
45;Absolute target;330
46;Base year intensity target;331
47;Absolute target;332
48;Absolute target;333
49;Absolute target;334
50;Absolute target;335
51;Absolute target;336
52;Absolute target;337
53;Absolute target;338
54;Absolute target;339
55;Absolute target;340
56;Absolute target;341
57;Absolute target;342
58;Absolute target;343
59;Absolute target;344
60;Base year intensity target;345
61;Absolute target;346
62;Absolute target;347
63;Baseline scenario (business as usual) target;348
64;Absolute target;349
65;Absolute target;351
66;Absolute target;352
67;Absolute target;353
68;Absolute target;354
69;Absolute target;355
70;Baseline scenario (business as usual) target;356
71;Baseline scenario (business as usual) target;357
72;Baseline scenario (business as usual) target;358
73;Baseline scenario (business as usual) target;359
74;Baseline scenario (business as usual) target;360
75;Baseline scenario (business as usual) target;361
76;Absolute target;362
77;Absolute target;363
78;Absolute target;364
79;Absolute target;366
80;Absolute target;367
81;Absolute target;368
82;Absolute target;369
83;Absolute target;371
84;Absolute target;372
85;Absolute target;373
86;Absolute target;374
87;Baseline scenario (business as usual) target;375
88;Absolute target;376
89;Absolute target;377
90;Absolute target;378
91;Absolute target;379
92;Absolute target;380
93;Absolute target;383
94;Absolute target;384
95;Baseline scenario (business as usual) target;385
96;Absolute target;386
97;Absolute target;387
98;Base year intensity target;388
99;Absolute target;389
100;Absolute target;390
101;Absolute target;391
102;Base year intensity target;392
103;Absolute target;393
104;Absolute target;394
105;Absolute target;395
106;Absolute target;396
107;Absolute target;397
108;Absolute target;398
109;Absolute target;399
110;Absolute target;400
111;Absolute target;401
